Usage,Temp,Hour
0.12,54,0
0.121,54,1
0.123,54,2
0.132,54,3
0.111,54,4
0.12,54,5
0.121,54,6
0.121,54,7
0.573,54,8
0.129,54,9
0.13,54,10
0.124,54,11
0.192,54,12
2.101,54,13
0.123,54,14
0.587,54,15
0.18,54,16
0.222,54,17
0.236,54,18
0.507,54,19
0.122,54,20
0.121,54,21
0.121,54,22
0.124,54,23
0.33,49,0
0.616,49,1
0.263,49,2
0.22,49,3
0.115,49,4
0.5,49,5
0.131,49,6
0.133,49,7
0.125,49,8
0.12,49,9
0.12,49,10
0.12,49,11
0.118,49,12
2.706,49,13
0.132,49,14
0.099,49,15
0.571,49,16
0.123,49,17
0.12,49,18
0.12,49,19
0.475,49,20
0.12,49,21
0.12,49,22
0.129,49,23
0.13,52,0
0.508,52,1
0.122,52,2
0.254,52,3
0.296,52,4
0.362,52,5
0.323,52,6
0.543,52,7
0.124,52,8
0.123,52,9
0.126,52,10
0.129,52,11
0.602,52,12
0.118,52,13
0.12,52,14
0.12,52,15
0.12,52,16
0.119,52,17
0.55,52,18
0.131,52,19
0.125,52,20
0.121,52,21
0.122,52,22
0.12,52,23
0.119,55,0
0.12,55,1
0.557,55,2
1.166,55,3
0.823,55,4
0.286,55,5
0.595,55,6
0.121,55,7
0.122,55,8
0.554,55,9
0.13,55,10
0.122,55,11
0.118,55,12
0.523,55,13
0.119,55,14
0.12,55,15
0.124,55,16
0.13,55,17
0.58,55,18
0.19,55,19
0.145,55,20
0.135,55,21
0.123,55,22
0.12,55,23
0.12,43,0
0.655,43,1
0.281,43,2
0.266,43,3
0.585,43,4
0.135,43,5
0.123,43,6
0.122,43,7
0.122,43,8
0.121,43,9
0.125,43,10
0.132,43,11
0.539,43,12
2.648,43,13
0.446,43,14
0.118,43,15
0.521,43,16
0.121,43,17
0.131,43,18
0.129,43,19
0.492,43,20
0.119,43,21
0.128,43,22
1.319,43,23
0.751,37,0
0.13,37,1
0.47,37,2
0.119,37,3
0.112,37,4
0.118,37,5
0.493,37,6
0.238,37,7
0.161,37,8
0.129,37,9
0.14,37,10
0.122,37,11
0.449,37,12
0.119,37,13
0.119,37,14
0.688,37,15
1.219,37,16
1.196,37,17
0.593,37,18
0.304,37,19
0.753,37,20
0.444,37,21
0.138,37,22
0.125,37,23
0.124,43,0
0.124,43,1
0.64,43,2
0.43,43,3
0.123,43,4
0.131,43,5
0.134,43,6
0.129,43,7
0.483,43,8
0.125,43,9
0.123,43,10
0.125,43,11
0.123,43,12
0.123,43,13
0.236,43,14
0.368,43,15
0.124,43,16
0.123,43,17
0.239,43,18
0.174,43,19
0.136,43,20
0.216,43,21
0.649,43,22
0.317,43,23
0.731,51,0
0.441,51,1
0.806,51,2
0.437,51,3
0.37,51,4
1.316,51,5
3.929,51,6
2.326,51,7
1.597,51,11
0.143,51,12
0.384,51,13
0.48,51,15
0.127,51,16
0.634,51,17
0.146,51,18
0.098,51,19
0.35,51,20
0.38,51,22
0.131,51,23
0.038,46,0
1.027,46,1
2.052,46,2
2.321,46,3
2.079,46,4
1.972,46,5
0.152,46,6
0.26,46,7
0.17,46,8
0.131,46,9
0.133,46,10
0.443,46,11
0.132,46,12
2.165,46,13
0.728,46,14
0.124,46,15
0.522,46,16
0.124,46,17
0.126,46,18
0.13,46,19
0.509,46,20
0.132,46,21
0.129,46,22
0.124,46,23
0.142,51,0
0.763,51,1
1.887,51,2
2.033,51,3
1.998,51,4
2.299,51,5
2.066,51,6
0.164,51,7
0.129,51,8
0.127,51,9
0.126,51,10
0.125,51,11
0.596,51,12
0.127,51,13
0.13,51,14
0.126,51,15
0.489,51,16
0.127,51,17
0.128,51,18
0.124,51,19
0.169,51,20
0.212,51,21
0.145,51,22
0.496,51,23
0.564,59,0
0.813,59,1
0.362,59,2
0.784,59,3
0.148,59,4
2.387,59,5
2.674,59,6
0.242,59,7
0.548,59,8
0.161,59,9
0.162,59,10
0.501,59,11
0.161,59,12
0.505,59,13
0.166,59,14
0.159,59,15
0.443,59,16
0.281,59,17
0.254,59,18
0.269,59,19
0.648,59,20
0.271,59,21
0.418,59,22
0.985,59,23
1.377,58,0
1.227,58,1
0.65,58,2
1.802,58,3
0.313,58,4
3.269,58,5
0.771,58,6
0.194,58,7
0.505,58,8
0.171,58,9
0.166,58,10
0.164,58,11
0.481,58,12
0.502,58,13
0.167,58,14
0.211,58,15
0.557,58,16
0.258,58,17
0.257,58,18
0.234,58,19
0.57,58,20
0.483,58,21
0.273,58,22
0.272,58,23
2.056,57,0
1.836,57,1
0.412,57,2
0.65,57,3
0.246,57,4
0.558,57,5
0.222,57,6
0.157,57,7
0.12,57,8
0.405,57,9
0.12,57,10
0.121,57,11
0.12,57,12
0.125,57,13
0.473,57,14
0.214,57,15
0.511,57,16
0.246,57,17
0.278,57,18
3.039,57,19
0.938,57,20
1.421,57,21
0.201,57,22
0.58,57,23
0.311,62,0
0.303,62,1
0.594,62,2
0.163,62,3
2.224,62,4
0.729,62,5
0.677,62,6
0.211,62,7
0.131,62,8
0.441,62,9
0.109,62,10
0.124,62,11
0.125,62,12
0.429,62,13
0.127,62,14
0.58,62,15
0.121,62,16
0.414,62,17
0.117,62,18
0.122,62,19
0.142,62,20
1.829,62,21
0.379,62,22
0.246,62,23
0.016,66,0
1.969,66,3
0.104,66,4
0.463,66,5
0.115,66,6
0.121,66,7
0.123,66,8
0.431,66,9
0.155,66,10
0.117,66,11
0.119,66,12
0.483,66,13
0.119,66,14
0.122,66,15
0.432,66,16
0.127,66,17
0.118,66,18
0.119,66,19
0.099,66,20
0.117,66,21
0.454,66,22
0.132,66,23
0.144,68,0
2.144,68,3
0.222,68,4
0.907,68,5
1.286,68,6
0.134,68,7
0.536,68,8
0.122,68,9
0.123,68,10
0.12,68,11
0.487,68,12
0.142,68,13
0.539,68,14
0.17,68,15
0.126,68,16
0.122,68,17
